Feature,Importance
Source_Manga,0.23405988999797112
episodes,0.19291097983296662
Source_Light novel,0.08087186799755813
Rating_G,0.08066816052149375
Rating_Rx,0.0688531269097599
synopsis_tfidf_940,0.06396414748421467
Rating_PG,0.049297209207579386
Types_ONA,0.04848237930332186
Types_Music,0.0458341821144849
Genres_Hentai,0.030148706457527534
Types_OVA,0.028315339172948102
Types_Movie,0.020574455082501702
Source_Game,0.019759625178244082
Genres_Avant Garde,0.015481768180892166
Source_Book,0.014870645752699021
Types_TV,0.014666938276634822
Genres_Horror,0.014055815848441405
Rating_R,0.011815033611733392
Source_Visual novel,0.010185373803218522
synopsis_tfidf_771,0.00957425137502538
synopsis_tfidf_894,0.009370543898960906
synopsis_tfidf_633,0.008963128946832053
Source_Original,0.008555713994703564
synopsis_tfidf_964,0.00855571399470338
synopsis_tfidf_529,0.00855571399470329
synopsis_tfidf_905,0.008352006518638908
synopsis_tfidf_606,0.008148299042574709
synopsis_tfidf_379,0.008148299042574619
synopsis_tfidf_587,0.00794459156651051
synopsis_tfidf_876,0.007944591566510235
synopsis_tfidf_357,0.007944591566510235
synopsis_tfidf_808,0.007333469138317365
synopsis_tfidf_297,0.007333469138317275
synopsis_tfidf_959,0.007333469138317275
synopsis_tfidf_479,0.007129761662252802
synopsis_tfidf_539,0.006926054186188603
Genres_Sci-Fi,0.006926054186188512
synopsis_tfidf_756,0.006722346710124221
synopsis_tfidf_36,0.006722346710124221
synopsis_tfidf_996,0.006518639234059931
synopsis_tfidf_235,0.006518639234059658
synopsis_tfidf_711,0.00631493175799564
synopsis_tfidf_355,0.00631493175799564
Genres_Award Winning,0.005907516805866877
synopsis_tfidf_751,0.005907516805866696
synopsis_tfidf_866,0.005703809329802497
synopsis_tfidf_781,0.005703809329802406
synopsis_tfidf_735,0.005703809329802315
synopsis_tfidf_528,0.005703809329802315
synopsis_tfidf_75,0.005500101853738115
synopsis_tfidf_340,0.005500101853738024
Genres_Mystery,0.005500101853738024
synopsis_tfidf_877,0.005500101853737933
synopsis_tfidf_536,0.005500101853737933
synopsis_tfidf_26,0.005296394377673734
synopsis_tfidf_626,0.005296394377673734
synopsis_tfidf_19,0.005296394377673734
synopsis_tfidf_180,0.0052963943776735516
Genres_Boys Love,0.005092686901609352
synopsis_tfidf_514,0.005092686901609352
synopsis_tfidf_772,0.005092686901609352
synopsis_tfidf_432,0.005092686901609261
